2268, 385-1020 
1611, 169-1020 
1403, 106-1020 
2341, 335-1020 
1030, 380-1020 
5054, 180-1020 
2268, 330-1020 
1809, 202-1020 
1326, 411-1020 
1809, 202-1020 
1916, 202-1020 
680, 200-1020 
1826, 200-1020 
1821, 200-1020 
1203, 375-1020 
1202, 375-1020 
830, 375-1020 
1200, 375-1020 
1890, 200-1020 
1903, 230-1020 
1870, 230-1020 
1858, 230-1020 
1902, 230-1020 
1813, 230-1020 
705, 200-1020 
680, 200-1020 
1893, 230-1020 
1903, 230-1020 
1216, 360-1020 
1345, 360-1020 
1017, 360-1020 
1345, 360-1020 
2202, 373-1020 
2202, 373-1020 
2253, 767-1023 
1274, 411-1020 
2080, 411-1020 
1210, 411-1020 
1326, 411-1020 
1969, 599-1020 
2061, 599-1020 
636, 155-1020 
1059, 430-1020 
1947, 430-1020 
1315, 590-1020 
673, 590-1020 
1318, 590-1020 
630, 590-1020 
673, 590-1020 
1983, 598-1020 
1255, 375-1020 
2308, 375-1020 
807, 375-1020 
1953, 598-1020 
1979, 598-1020 
1939, 598-1020 
2013, 598-1020 
1990, 598-1020 
1246, 379-1020 
1437, 460-1020 
2292, 379-1020 
2120, 379-1020 
1419, 460-1020 
1517, 460-1020 
1422, 460-1020 
808, 379-1020 
675, 174-1020 
652, 174-1020 
1318, 590-1020 
1421, 174-1020 
5068, 174-1020 
2340, 350-1020 
2350, 350-1020 
2167, 350-1020 
2245, 350-1020 
1045, 60-1020 
1038, 60-1020 
816, 385-1020 
2292, 385-1020 
1229, 385-1020 
1043, 60-1020 
815, 370-1020 
2324, 370-1020 
1204, 370-1020 
2327, 370-1020 
2143, 370-1020 
813, 370-1020 
2324, 370-1020 
2201, 370-1020 
2287, 370-1020 
1034, 60-1020 
1036, 60-1020 
1042, 60-1020 
1034, 60-1020 
1048, 60-1020 
2165, 370-1020 
1035, 60-1020 
1035, 60-1020 
806, 385-1020 
1871, 220-1020 
1895, 220-1020 
1875, 212-1020 
1808, 220-1020 
1808, 220-1020 
1284, 715-1023 
2251, 385-1020 
2106, 385-1020 
2238, 380-1020 
2295, 380-1020 
2336, 385-1020 
2251, 385-1020 
2325, 385-1020 
818, 385-1020 
1251, 380-1020 
5028, 212-1020 
2282, 301-1020 
1840, 212-1020 
1840, 212-1020 
2157, 301-1020 
818, 301-1020 
2318, 301-1020 
828, 301-1020 
2238, 381-1020 
2153, 381-1020 
2305, 381-1020 
1267, 381-1020 
5102, 160-1020 
2104, 300-1020 
5139, 160-1020 
5045, 160-1020 
2295, 381-1020 
1270, 381-1020 
816, 300-1020 
2098, 300-1020 
1311, 362-1020 
1053, 362-1020 
1861, 235-1020 
2154, 235-1020 
1338, 362-1020 
1338, 362-1020 
2184, 235-1020 
1916, 209-1020 
1887, 235-1020 
2335, 321-1020 
2297, 321-1020 
1522, 185-1020 
2291, 321-1020 
5039, 160-1020 
5084, 160-1020 
2297, 321-1020 
2214, 321-1020 
5115, 185-1020 
1383, 468-1020 
1414, 468-1020 
2063, 185-1020 
1448, 185-1020 
5108, 66-1020 
5089, 66-1020 
5156, 150-1020 
5127, 150-1020 
1459, 100-1020 
1410, 150-1020 
5142, 150-1020 
1398, 175-1020 
2164, 196-1020 
2275, 330-1020 
833, 330-1020 
656, 590-1020 
1355, 590-1020 
2278, 330-1020 
2250, 330-1020 
2256, 330-1020 
2109, 330-1020 
5051, 140-1020 
2007, 196-1020 
5125, 140-1020 
2164, 196-1020 
1984, 196-1020 
5122, 140-1020 
5063, 140-1020 
5059, 140-1020 
5060, 140-1020 
1454, 100-1020 
1377, 100-1020 
1507, 100-1020 
5157, 130-1020 
5157, 130-1020 
5138, 130-1020 
5071, 130-1020 
5060, 130-1020 
5149, 130-1020 
5059, 130-1020 
668, 200-1020 
1814, 200-1020 
2250, 306-1020 
1814, 200-1020 
1867, 200-1020 
1867, 200-1020 
1830, 200-1020 
668, 200-1020 
2216, 306-1020 
1200, 375-1020 
830, 375-1020 
2172, 330-1020 
2220, 330-1020 
2258, 306-1020 
2801, 306-1020 
1247, 375-1020 
2216, 306-1020 
672, 200-1020 
5040, 130-1020 
2313, 390-1020 
1224, 402-1020 
1894, 225-1020 
2029, 105-1020 
1970, 105-1020 
2067, 105-1020 
1970, 105-1020 
1892, 210-1020 
1911, 210-1020 
1892, 210-1020 
1902, 210-1020 
1816, 210-1020 
1987, 105-1020 
633, 192-1020 
677, 77-1020 
677, 77-1020 
677, 77-1020 
1432, 112-1020 
1373, 112-1020 
5090, 169-1020 
1018, 433-1020 
1982, 433-1020 
2168, 307-1020 
1428, P455-1020 
1274, 427-1020 
1454, 156-1020 
1241, 476-1020 
841, 124-1020 
2083, 106-1020 
1447, 106-1020 
2321, 367-1020 
2288, 367-1020 
2062, 124-1020 
632, 192-1020 
648, 192-1020 
648, 192-1020 
1312, 414-1020 
1312, 414-1020 
1238, 414-1020 
5108, 169-1020 
5108, 169-1020 
1601, 169-1020 
5103, 169-1020 
1611, 169-1020 
1611, 169-1020 
2201, 372-1020 
1294, 372-1020 
2129, 372-1020 
5125, 169-1020 
2265, 334-1020 
2273, 334-1020 
1962, 599-1020 
1934, 599-1020 
1459, 100-1020 
5140, 150-1020 
5156, 150-1020 
